xpath_id,source,xml_version,level,xpath,raw_group_root,group_root,master_detail,default_column_name,default_data_type,default_data_length,sample_value,group_level
38,DS,1.0,7,/Data/Products/Product/EndPoint/ClientOS/Item/@count,/Data/Products/Product/EndPoint/ClientOS/Item,/Data/Products/Product/EndPoint/ClientOS/Item,D,ClientOS_Item_count,int,,32009,6
2539,OSCE,2.0,7,/Data/Products/Product/EndPoint/DLP_CFG/Item/@desktop_off,/Data/Products/Product/EndPoint/DLP_CFG/Item,/Data/Products/Product/EndPoint/DLP_CFG,D,DLP_CFG_Item_desktop_off,int,,49996,6
4292,DDWI,2.2,5,/bif/Product/Configuration/LDAP/DomainCount,/bif/Product/Configuration/LDAP,/bif/Product/Configuration,M,LDAP_DomainCount,int,,2,4
33,DS,1.0,7,/Data/Products/Product/EndPoint/ActivatedAgentVersions/Item/@Count,/Data/Products/Product/EndPoint/ActivatedAgentVersions/Item,/Data/Products/Product/EndPoint/ActivatedAgentVersions/Item,D,Item_Count,int,,10026,6
2574,DDI,1.0,4,/data/product_info/engine_version/trendx,/data/product_info/engine_version,/data/product_info,M,engine_version_trendx,varchar,18,1.100.1047,3
39,DS,1.0,7,/Data/Products/Product/EndPoint/ClientOS/Item/@ostype,/Data/Products/Product/EndPoint/ClientOS/Item,/Data/Products/Product/EndPoint/ClientOS/Item,D,Item_ostype,int,,20,6
2524,DDD,1.0,5,/Product/Other/Storages/Storage/@Category,/Product/Other/Storages/Storage,/Product/Other/Storages/Storage,D,Storage_Category,varchar,10,Usage,4
4421,DDI,1.0,6,/data/other/cav_ddna_meta/ftp/trans_cnt/h17,/data/other/cav_ddna_meta/ftp/trans_cnt,/data/other/cav_ddna_meta/ftp/trans_cnt,M,ftp_trans_cnt_h17,int,,400210,5
40,DS,1.0,7,/Data/Products/Product/EndPoint/ClientOS/Item/@osversion,/Data/Products/Product/EndPoint/ClientOS/Item,/Data/Products/Product/EndPoint/ClientOS/Item,D,Item_osversion,nvarchar,7595,\\ga16fs1\server support\Windows Software\Windows Server\Server ISO's\2012\en_windows_server_2012_r2_x64_dvd_2707946.iso,6
2533,DDD,1.0,5,/Product/Setting/Storages/Storage/@Type,/Product/Setting/Storages/Storage,/Product/Setting/Storages/Storage,D,Storages_Storage_Type,varchar,23,Detection_Log,4
4478,DDI,1.0,6,/data/other/cav_ddna_meta/https/flow_cnt/h02,/data/other/cav_ddna_meta/https/flow_cnt,/data/other/cav_ddna_meta/https/flow_cnt,M,https_flow_cnt_h02,int,,182276,5
34,DS,1.0,7,/Data/Products/Product/EndPoint/ActivatedAgentVersions/Item/@Name,/Data/Products/Product/EndPoint/ActivatedAgentVersions/Item,/Data/Products/Product/EndPoint/ActivatedAgentVersions/Item,D,Item_Name,varchar,89,9.5.2.2036,6
36,DS,1.0,6,/Data/Products/Product/EndPoint/ActivatedSeat/@Appliances,/Data/Products/Product/EndPoint/ActivatedSeat,/Data/Products/Product/EndPoint/ActivatedSeat,M,ActivatedSeat_Appliances,int,,102,5
2537,OSCE,2.0,6,/Data/Products/Product/EndPoint/DLP_CFG/DAC_POLICY_COUNT,/Data/Products/Product/EndPoint/DLP_CFG,/Data/Products/Product/EndPoint/DLP_CFG,M,DLP_CFG_DAC_POLICY_COUNT,int,,26,5
4450,DDI,1.0,6,/data/other/cav_ddna_meta/http/flow_cnt/h22,/data/other/cav_ddna_meta/http/flow_cnt,/data/other/cav_ddna_meta/http/flow_cnt,M,http_flow_cnt_h22,int,,1101688,5
43,DS,1.0,7,/Data/Products/Product/EndPoint/ModuleUsage/Item/@EnabledCount,/Data/Products/Product/EndPoint/ModuleUsage/Item,/Data/Products/Product/EndPoint/ModuleUsage/Item,D,Item_EnabledCount,int,,12162,6
2536,DDD,1.0,6,/Product/Setting/Syslog_Forward/Servers/Server/@protocol,/Product/Setting/Syslog_Forward/Servers/Server,/Product/Setting/Syslog_Forward/Servers/Server,D,Server_protocol,varchar,10,UDP,5
4459,DDI,1.0,6,/data/other/cav_ddna_meta/http/trans_cnt/h07,/data/other/cav_ddna_meta/http/trans_cnt,/data/other/cav_ddna_meta/http/trans_cnt,M,http_trans_cnt_h07,int,,134143248,5
46,DS,1.0,7,/Data/Products/Product/EndPoint/SeatCounts/Item/@Name,/Data/Products/Product/EndPoint/SeatCounts/Item,/Data/Products/Product/EndPoint/SeatCounts/Item,D,SeatCounts_Item_Name,varchar,62,Standard,6
2547,OSCE,2.0,5,/Data/Products/Product/Server/EndpointLocation,/Data/Products/Product/Server,/Data/Products/Product/Server,M,Server_EndpointLocation,int,,0,4
4300,DDWI,2.2,7,/bif/Product/Configuration/VA/Images/Image/@OS_Name,/bif/Product/Configuration/VA/Images/Image,/bif/Product/Configuration,D,Image_OS_Name,varchar,16,win10 x64,6
41,DS,1.0,6,/Data/Products/Product/EndPoint/DSRU/@AppliedDate,/Data/Products/Product/EndPoint/DSRU,/Data/Products/Product/EndPoint/DSRU,M,DSRU_AppliedDate,datetime,,2014-11-27T13:04:33.907-05:00,5
2582,DDI,1.0,6,/data/product_setting/official_page/ad_accounts/viewer/resolve,/data/product_setting/official_page/ad_accounts/viewer,/data/product_setting/official_page/ad_accounts,M,ad_accounts_viewer_resolve,int,,1,5
47,DS,1.0,7,/Data/Products/Product/EndPoint/SeatCounts/Item/@No_Count,/Data/Products/Product/EndPoint/SeatCounts/Item,/Data/Products/Product/EndPoint/SeatCounts/Item,D,Item_No_Count,int,,32009,6
2532,DDD,1.0,5,/Product/Setting/Storages/Storage/@Keep_Days,/Product/Setting/Storages/Storage,/Product/Setting/Storages/Storage,D,Storage_Keep_Days,int,,365,4
4429,DDI,1.0,6,/data/other/cav_ddna_meta/http/flow_cnt/h01,/data/other/cav_ddna_meta/http/flow_cnt,/data/other/cav_ddna_meta/http/flow_cnt,M,http_flow_cnt_h01,int,,1342333,5
48,DS,1.0,7,/Data/Products/Product/EndPoint/SeatCounts/Item/@Yes_Count,/Data/Products/Product/EndPoint/SeatCounts/Item,/Data/Products/Product/EndPoint/SeatCounts/Item,D,Item_Yes_Count,int,,13570,6
2541,OSCE,2.0,7,/Data/Products/Product/EndPoint/DLP_CFG/Item/@Name,/Data/Products/Product/EndPoint/DLP_CFG/Item,/Data/Products/Product/EndPoint/DLP_CFG,D,DLP_CFG_Item_Name,varchar,25,DAC_ENABLE_OUT,6
4486,DDI,1.0,6,/data/other/cav_ddna_meta/https/flow_cnt/h10,/data/other/cav_ddna_meta/https/flow_cnt,/data/other/cav_ddna_meta/https/flow_cnt,M,https_flow_cnt_h10,int,,5402046,5
42,DS,1.0,6,/Data/Products/Product/EndPoint/DSRU/@Version,/Data/Products/Product/EndPoint/DSRU,/Data/Products/Product/EndPoint/DSRU,M,DSRU_Version,varchar,53,15-001,5
44,DS,1.0,7,/Data/Products/Product/EndPoint/ModuleUsage/Item/@ModuleName,/Data/Products/Product/EndPoint/ModuleUsage/Item,/Data/Products/Product/EndPoint/ModuleUsage/Item,D,Item_ModuleName,varchar,53,WRS,6
2545,OSCE,2.0,5,/Data/Products/Product/Server/AllowAgentUpdateFromOUS,/Data/Products/Product/Server,/Data/Products/Product/Server,M,Server_AllowAgentUpdateFromOUS,int,,0,4
4458,DDI,1.0,6,/data/other/cav_ddna_meta/http/trans_cnt/h06,/data/other/cav_ddna_meta/http/trans_cnt,/data/other/cav_ddna_meta/http/trans_cnt,M,http_trans_cnt_h06,int,,134191769,5
51,DS,1.0,5,/Data/Products/Product/EndPoint/TenantName,/Data/Products/Product/EndPoint,/Data/Products/Product/EndPoint,M,EndPoint_TenantName,nvarchar,95,Cached Tenant - C7BF42A8-AB0C-C0B5-0B3F-FB0AEADA4407,4
2544,OSCE,2.0,5,/Data/Products/Product/Server/AgentOUSCount,/Data/Products/Product/Server,/Data/Products/Product/Server,M,Server_AgentOUSCount,int,,5,4
4467,DDI,1.0,6,/data/other/cav_ddna_meta/http/trans_cnt/h15,/data/other/cav_ddna_meta/http/trans_cnt,/data/other/cav_ddna_meta/http/trans_cnt,M,http_trans_cnt_h15,int,,134207005,5
54,DS,1.0,7,/Data/Products/Product/Server/ACs/AC/@Product_code,/Data/Products/Product/Server/ACs/AC,/Data/Products/Product/Server/ACs/AC,D,AC_Product_code,varchar,53,DX,6
2555,DDI,1.0,4,/data/other/packet_capture_stat/pcap_process_lt_3s,/data/other/packet_capture_stat,/data/other/packet_capture_stat,M,packet_capture_stat_pcap_process_lt_3s,varchar,13,"107,164",3
4308,DDWI,2.2,4,/bif/Product/Policy/EnabledAlertCount,/bif/Product/Policy,/bif/Product/Policy,M,Policy_EnabledAlertCount,int,,12,3
49,DS,1.0,5,/Data/Products/Product/EndPoint/TenantID,/Data/Products/Product/EndPoint,/Data/Products/Product/EndPoint,M,EndPoint_TenantID,varchar,81,16243EAE-EA6E-BC97-DA2D-41D7A9421ABA,4
2590,DDI,1.0,6,/data/product_setting/official_page/integrated_product/threat_intelligence_sharing/simple_http_port,/data/product_setting/official_page/integrated_product/threat_intelligence_sharing,/data/product_setting/official_page/integrated_product,M,threat_intelligence_sharing_simple_http_port,int,,12345,5
55,DS,1.0,7,/Data/Products/Product/Server/ACs/AC/@Service,/Data/Products/Product/Server/ACs/AC,/Data/Products/Product/Server/ACs/AC,D,AC_Service,varchar,72,"AM, WRS",6
2540,OSCE,2.0,7,/Data/Products/Product/EndPoint/DLP_CFG/Item/@desktop_on,/Data/Products/Product/EndPoint/DLP_CFG/Item,/Data/Products/Product/EndPoint/DLP_CFG,D,DLP_CFG_Item_desktop_on,int,,14,6
4437,DDI,1.0,6,/data/other/cav_ddna_meta/http/flow_cnt/h09,/data/other/cav_ddna_meta/http/flow_cnt,/data/other/cav_ddna_meta/http/flow_cnt,M,http_flow_cnt_h09,int,,1342532,5
